species_id,common_name,scientific_name,common_name_bw,family,common_name_el,nocturnal,activity_period
22,Cirl Bunting,,,,Cirl Bunting,,
303,European Stonechat,,,,European Stonechat,,
13835,Greater Whitethroat,,,,Greater Whitethroat,,
34,Hooded Crow,,,,Hooded Crow,,
113,Yellowhammer,,,,Yellowhammer,,
1274,Tundra Bean-Goose,,,,Tundra Bean-Goose,,
889,Eastern Screech-Owl,,,,Eastern Screech-Owl,,
1297,Eastern Whip-poor-will,,,,Eastern Whip-poor-will,,
2037,Northern Shrike,,,,Northern Shrike,,
664,Pacific Wren,,,,Pacific Wren,,
1847,Wilson's Snipe,,,,Wilson's Snipe,,
852,Yellow-crowned Night-Heron,,,,Yellow-crowned Night-Heron,,
1051,Australasian Swamphen,,,,Australasian Swamphen,,
362,Gray Fantail,,,,Gray Fantail,,
727,Woodhouse's Scrub-Jay,,,,Woodhouse's Scrub-Jay,,
154,Common Gallinule,,,,Common Gallinule,,
